Nombre Comercial,Modelo,Funciona,Bandas,Provincias,Observaciones
DRA-LX3,,Sí,"2G, 3G",,
MRD-LX3,,Sí,"2G, 3G",,
POT-LX3,,Sí,"2G, 3G",,
CRO-L03 At&t,,Sí,"2G, 3G",,
JKM-LX3,,Sí,"2G, 3G",,
H831C Sprint,,Sí,2G,,
TCL 20CX,,Sí,2G,,
TCL 20E 6125F,,Sí,"2G, 3G",,
TCL A502DL,,Sí,2G,,
TCL A509DL,,Sí,2G,,
TCL A507DL,,Sí,2G,,
TCL T770B,,Sí,"2G, 3G, 4G",,
Tinno U318AA,,Sí,2G,,
Tinno U705AA,,Sí,2G,,
Radiant Core AT&T U304AA,,Sí,2G,,
Radiant Core Cricket U325AC,,Sí,2G,,
Radiant Core AT&T U705AA,,Sí,2G,,
At&t Maesro Plus V350U,,Sí,2G,,
Wiko Tinno U316AS,,Sí,2G,,
Wiko U614AS,,Sí,2G,,
Nokia X100 MetroPcs,,Sí,"2G, 3G, 4G",,
Nokia C5 Endi,,Sí,2G,,
Nokia C2 Tennen,,Sí,2G,,
NOKIA C2 US TA-1218,,Sí,2G,,
Nokia 3.1 TA-1124 Cricket,,Sí,2G,,
Nokia Lumia 925 Tmobile,,Sí,"2G, 3G",,
NOKIA 1.4 TA-1322,,Sí,"2G, 3G, 4G",,
Nokia 2V TA-1136,,Sí,"2G, 3G, 4G",,
Z970 Metro,,Sí,2G,,
Z971,,Sí,2G,,
Z981,,Sí,2G,,
Z982,,Sí,2G,,
Z667T,,Sí,2G,,
ZTE BLADE A3 LITE,,Sí,"2G, 3G",,
ZTE Blade A3 2020,,Sí,"2G, 3G, 4G",,
ZTE Blade A5 2020,,Sí,"2G, 3G",,
ZTE BLADE A31 Movistar,,Sí,2G,,
ZTE BLADE A31 LITE,,Sí,"2G, 3G, 4G",,
ZTE Blade L210RU,,Sí,"2G, 3G",,
ZTE Blade A50RU,,Sí,"2G, 3G, 4G",,
ZTE N9560,,Sí,"2G, 3G, 4G",,
ZTE AVID 579,,Sí,"2G, 4G",,
ZTE 8010,,Sí,2G,,
D2005,,Sí,"2G, 3G",,
H3311,,Sí,"2G, 3G",,
XQ-AU52,,Sí,"2G, 3G",,
Boost Mobile Celero 5G,,Sí,"2G, 3G, 4G",,
Wtcelero5G Celero 5G,,Sí,"2G, 3G, 4G",,
Kodak SEREN D60LX,,Sí,4G,,
Kodak SEREN D65LX,,Sí,4G,,
Genéricos/No comerciales,MP1,Sí,4G,,
CoolPad CP3636A Cricket,,Sí,2G,,
BLU GRAND M2 G290Q,,Sí,2G,,
BLU D141W,,Sí,2G,,
BLU D470L,,Sí,2G,,
BLU D470U,,Sí,2G,,
BLU D470A,,Sí,2G,,
BLU G5 G0090,,Sí,"2G, 3G, 4G",,
BLU C5L,,Sí,"2G, 3G, 4G",,
BLU V81 G0450WW,,Sí,"2G, 3G, 4G",,
BLU G91S G0550WW,,Sí,"2G, 3G, 4G",,
VTELCA L111,,Sí,2G,,
SMOOTH 6.5,,Sí,"2G, 3G, 4G",,
VODAFONE VFD720,,Sí,"2G, 3G, 4G",,
TECNO F1,,Sí,2G,,
COOLPAD CP3705A Sprint,,Sí,2G,,
Cricket Splendor EC211003,,No,,,
Cricket Ovation 2 EC1002,,No,,,
Cricket Dream 5G EC211001,,No,,,
AT&T Maestro Max EA1002,,No,,,
AT&T Motivate 2 EA211002,,No,,,
AT&T Radiant Max EA 211002,,No,,,
Wiko U300,,No,,,
Wiko U307AS,,No,,,
Wiko U520AS,,No,,,
Wiko C210EA,,No,,,
Wiko U316AT,,No,,,
Umx U683CL,,No,,,
Blu B130DL,,No,,,
KODAK KD50,,No,,,
ANS UL40 CDMA,,No,,,
NUU S20801L,,No,,,
SUNSHINET ELITE LITE,TABLET,No,,,
N9518,,No,,,
N9510,,No,,,
A520L,,No,,,
HTC DESIRE 510 Sprint,,No,,,
LG L322DL,,No,,,
LG T600TS,TABLET,No,,,
LG V522,TABLET,No,,,
LG LS885 CDMA,,No,,,
SAMSUNG T217S Sprint CDMA,,No,,,
SAMSUNG S367VL,,No,,,
S111DL Tracfone CDMA,,No,,,
S115DL Tracfone CDMA,,No,,,
S124DL Tracfone CDMA,,No,,,
S134DL Tracfone CDMA,,No,,,
T377T,,No,,,
ZTE Z3351S,,No,,,
ZTE BLADE VANTAGE LTE Z839 Verizon CDMA,,No,,,
ZTE Z831 CDMA,,No,,,
ZTE Z835,,No,,,
ZTE Z792,,No,,,
Motorola,XT2005DL,No,,,
Motorola,XT2005-5,No,,,
